state,overpayment_rate,underpayment_rate,payment_error_rate
Alabama,7.32,0.99,8.32
Alaska,22.50,2.16,24.66
Arizona,7.56,1.28,8.84
Arkansas,7.97,1.59,9.56
California,9.01,1.98,10.98
Colorado,7.91,2.06,9.97
Connecticut,8.61,1.65,10.25
Delaware,10.49,1.88,12.37
District of Columbia,13.62,3.76,17.38
Florida,13.05,2.08,15.13
Georgia,13.59,2.06,15.65
Guam,7.88,1.84,9.72
Hawaii,5.87,0.80,6.68
Idaho,3.02,0.57,3.59
Illinois,10.64,0.93,11.56
Indiana,7.42,2.10,9.52
Iowa,5.30,0.84,6.14
Kansas,9.43,0.55,9.98
Kentucky,8.23,0.88,9.11
Louisiana,5.14,1.48,6.62
Maine,8.57,1.68,10.26
Maryland,8.85,4.79,13.64
Massachusetts,13.03,1.07,14.10
Michigan,8.03,1.50,9.53
Minnesota,6.32,2.66,8.98
Mississippi,8.93,1.76,10.69
Missouri,8.16,1.26,9.42
Montana,6.47,2.41,8.89
Nebraska,4.64,0.86,5.50
Nevada,5.63,0.32,5.94
New Hampshire,4.52,3.05,7.57
New Jersey,12.11,2.22,14.33
New Mexico,13.07,1.54,14.61
New York,12.65,1.44,14.09
North Carolina,8.11,2.10,10.21
North Dakota,5.72,2.19,7.91
Ohio,7.67,1.34,9.01
Oklahoma,9.63,1.25,10.87
Oregon,12.66,1.40,14.06
Pennsylvania,9.49,1.27,10.76
Rhode Island,10.61,1.68,12.29
South Carolina,7.89,1.36,9.25
South Dakota,2.43,0.85,3.28
Tennessee,8.43,1.04,9.47
Texas,5.77,2.55,8.32
Utah,5.09,0.65,5.74
Vermont,4.74,0.39,5.13
Virgin Islands,3.00,0.54,3.54
Virginia,9.54,1.96,11.50
Washington,5.79,0.26,6.06
West Virginia,8.57,0.86,9.43
Wisconsin,3.81,0.66,4.47
Wyoming,3.27,1.85,5.12
United States,9.26,1.67,10.93
