state_name,2017,2018,2019,2020,2021,2022,2023,2024
Alabama,165,165,165,140,140,140,140,140
Alaska,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,125,125,145
Arkansas,103,103,103,103,103,103,103,103
California,0,120,120,120,120,120,120,120
Colorado,165,165,165,165,165,165,165,165
Connecticut,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,0
Georgia,150,150,150,150,114,101,101,161
Guam,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0
Idaho,144,144,144,144,144,144,144,144
Illinois,210,210,210,165,165,150,150,150
Indiana,0,0,0,0,0,0,0,0
Iowa,105,105,105,110,110,125,130,140
Kansas,140,140,140,140,140,140,140,140
Kentucky,0,0,0,0,0,0,0,137
Louisiana,0,0,0,0,0,0,161,161
Maine,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0
Massachusetts,155,155,155,155,155,155,155,155
Michigan,0,0,0,0,165,165,165,165
Minnesota,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0
Missouri,165,165,135,135,135,135,135,135
Montana,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0
New Hampshire,115,115,115,115,115,135,135,135
New Jersey,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0,0
New York,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0
North Dakota,165,165,140,140,140,140,140,140
Ohio,0,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0,0,0
Oregon,170,170,170,170,170,170,170,170
Pennsylvania,0,0,0,0,0,0,0,0
Rhode Island,141,141,141,141,141,183,183,183
South Carolina,175,175,175,175,175,175,175,175
South Dakota,165,165,165,165,180,180,180,165
Tennessee,0,0,0,0,0,0,0,0
Texas,102,102,102,102,102,135,135,135
Utah,0,0,0,0,0,0,0,0
Vermont,138,138,116,116,116,116,156,156
Virgin Islands,0,0,0,0,0,0,0,0
Virginia,200,200,200,200,200,200,200,200
Washington,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0
Wyoming,103,103,103,103,103,103,103,140
